IDTeme;PROGRAMNAJU;TEMATSKA OBLASTNAJU;Oblast akreditacije;TEMA;Datum početka;Datum završetka;Lokacija;Verifikacija;Broj realizovanih dana;Broj polaznika;Evaluacija opšta ocena;Tip obuke;Godina realizacije
2023-03-0105;PROGRAM OBUKE  RUKOVODILACA U DRŽAVNIM ORGANIMA;INOVACIJE I DIGITALNO DOBA;Javne politike;OSTVARIVANjE REZULTATA: Upravljanje sistemom javnih politika;6.12.2023;6.12.2023;NAJU;0;1;0;;Klasična učionica;2023
2023-03-0206;PROGRAM OBUKE  RUKOVODILACA U DRŽAVNIM ORGANIMA;PROGRAM OBUKE DRŽAVNIH SLUŽBENIKA KOJI SE PRIPREMAJU ILI NALAZE NA RUKOVODEĆIM RADNIM MESTIMA;Veštine rukovođenja i lični razvoj i Upravljanje ljudskim resursima;PRAĆENjE UČINKA I VREDNOVANjE RADNE USPEŠNOSTI;6.12.2023;6.12.2023;LMS Virtuelna učionica;sertifikat;1;89;3,41;Virtuelna učionica;2023
2023-06-1303;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA ZAPOSLENIH U JEDINICAMA LOKALNE SAMOUPRAVE;POSLOVNA KOMUNIKACIJA;Komunikacija i odnosi sa javnošću;MOĆ POVRATNE INFORMACIJE;6.12.2023;-;LMS;onlajn sertifikat;0;6;;Modernizovane onlajn obuke;2023
2023-06-1405;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA ZAPOSLENIH U JEDINICAMA LOKALNE SAMOUPRAVE;LIČNI RAZVOJ;Veštine rukovođenja i lični razvoj;KOLIKO SMO EMOCIONALNO INTELIGENTNI;6.12.2023;-;LMS;onlajn sertifikat;0;4;;Modernizovane onlajn obuke;2023
2023-07-0107;SEKTORSKI PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA ZAPOSLENIH U JEDINICAMA LOKALNE SAMOUPRAVE;DOBRA UPRAVA;Normativni proces;SARADNjA SA ORGANIZACIJAMA CIVILNOG DRUŠTVA;6.12.2023;6.12.2023;Zoom;sertifikat;1;11;0,00;Virtuelna učionica;2023
2023-08-0126;PROGRAM OBUKE RUKOVODILACA U JEDINICAMA LOKALNE SAMOUPRAVE;PROGRAM OBUKE FUNKCIONERA I SLUŽBENIKA NA POLOŽAJU U JLS, SLUŽBENIKA KOJI SU RASPOREĐENI NA RADNA MESTA RUKOVODILACA ORGANIZACIONIH JEDINICAU GRADSKOJ, ODNOSNO OPŠTINSKOJ UPRAVI ILI UPRAVI GRADSKE OPŠTINE I SLUŽBENIKA KOJI SE PRIPREMAJU ZA RASPOREĐIVANjE NA RADNA MESTA RUKOVODILACA U JLS;Komunikacija i odnosi sa javnošću;INTERNA I EKSTERNA KOMUNIKACIJA;6.12.2023;-;LMS;onlajn sertifikat;0;2;;Modernizovane onlajn obuke;2023
2023-009-10007-04-02;POSEBNI PROGRAMI;MATIČARI;MATIČARI;Porodični status deteta - obuka za praktičan rad matičara;6.12.2023;6.12.2023;NAJU MDULS Webex;potvrda;1;33;;Virtuelna učionica;2023
2023-02-1807;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;DIGITALNA PISMENOST;Digitalna pismenost;NAPREDNA OBRADA TEKSTA;7.12.2023;11.12.2023;NAJU;sertifikat;3;13;3,95;Klasična učionica;2023
2023-02-2020;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;LIČNI RAZVOJ;Veštine rukovođenja i lični razvoj;TIMOVI I TIMSKI RAD;7.12.2023;7.12.2023;LMS Virtuelna učionica;potvrda;1;89;3,78;Virtuelna učionica;2023
2023-02-0204;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;INOVACIJE I DIGITALNO DOBA;Zaštita ljudskih prava i tajnosti podataka;ZAŠTITA PRAVA OSOBA SA INVALIDITETOM - Zaštita prava i sprečavanje diskriminacije osoba sa invaliditetom;8.12.2023;8.12.2023;NAJU;potvrda;1;14;3,91;Klasična učionica;2023
2023-02-0304;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;PREVENCIJA KORUPCIJE;Prevencija korupcije;PRAVO NA PRISTUP INFORMACIJAMA OD JAVNOG ZNAČAJA;8.12.2023;8.12.2023;LMS Virtuelna učionica;potvrda;1;120;3,65;Virtuelna učionica;2023
2023-02-1307;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;Upravljanje programima i projektima i međunarodnom razvojnom pomoći;OBEZBEĐIVANjE FINANSIRANjA IZ RAZLIČITIH DOSTUPNIH IZVORA - FANDREJZING;8.12.2023;8.12.2023;LMS Virtuelna učionica;sertifikat;1;37;3,49;Klasična učionica;2023
2023-02-0103;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;INOVACIJE I DIGITALNO DOBA;Veštine rukovođenja i lični razvoj;AGILNO UPRAVLjANjE;11.12.2023;11.12.2023;NAJU;potvrda;1;8;3,81;Konsultacije;2023
2023-02-0504;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;NORMATIVNI PROCES;Normativni proces;ANALIZA EFEKATA PROPISA - PUT DO KVALITETNIH PROPISA;11.12.2023;13.12.2023;NAJU;sertifikat;3;14;3,98;Klasična učionica;2023
2023-02-1107;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE LjUDSKIM RESURSIMA;Upravljanje ljudskim resursima ;OBUKA ZA PROCENU PONAŠAJNIH KOMPETENCIJA;11.12.2023;12.12.2023;NAJU;sertifikat;2;6;3,92;Klasična učionica;2023
2023-02-1505;POSEBNI DOGAĐAJI;MASTER KLAS;IT- poslovi;Cyber resilient cross country cooperation ;11.12.2023;11.12.2023;NAJU;bez potvrde;1;46;;Klasična učionica;2023
2023-00-0000;POSEBNI DOGAĐAJI;OKRUGLI STO;0;Okrugli sto “Pravci razvoja istraživačke delatnosti Nacionalne akademije za javnu upravu”;12.12.2023;12.12.2023;NAJU;bez potvrde;1;20;;Klasična učionica;2023
2023-02-1806;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;DIGITALNA PISMENOST;Digitalna pismenost;NAPREDNE TABELARNE KALKULACIJE;12.12.2023;14.12.2023;NAJU;sertifikat;3;13;4,00;Klasična učionica;2023
2023-02-1908;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;POSLOVNA KOMUNIKACIJA;Komunikacija i odnosi sa javnošću;VEŠTINE UPRAVLjANjA I REŠAVANjA KONFLIKATA;12.12.2023;13.12.2023;Prekršajni Sud;sertifikat;2;30;3,87;Klasična učionica;2023
2023-02-0206;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;INOVACIJE I DIGITALNO DOBA;Zaštita ljudskih prava i tajnosti podataka;RODNA RAVNOPRAVNOST - Rodno osetljiv i nediskriminatorni jezik u javnoj upravi i medijima;13.12.2023;13.12.2023;NAJU;potvrda;;43;;Klasična učionica;2023
2023-02-1327;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;Upravljanje programima i projektima i međunarodnom razvojnom pomoći;FIDIK RADOVI - PRIPREMA, UGOVARANjE I SPROVOĐENjE;13.12.2023;14.12.2023;NAJU;sertifikat;2;20;3,57;Klasična učionica;2023
2023-03-0105;PROGRAM OBUKE  RUKOVODILACA U DRŽAVNIM ORGANIMA;INOVACIJE I DIGITALNO DOBA;Javne politike;OSTVARIVANjE REZULTATA: Upravljanje sistemom javnih politika;13.12.2023;13.12.2023;LMS Virtuelna učionica;0;2;0;3,66;Virtuelna učionica;2023
2023-02-0816;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;FINANSIJSKO-MATERIJALNO POSLOVANjE;Revizija;REVIZIJA JAVNOG SEKTORA;14.12.2023;14.12.2023;NAJU;potvrda;1;21;3,84;Klasična učionica;2023
2023-02-1404;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;MEĐUNARODNA SARADNjA I EVROPSKE INTEGRACIJE;Komunikacija i odnosi sa javnošću;DRŽAVNI PROTOKOL SA ELEMENTIMA POSLOVNOG PROTOKOLA;14.12.2023;15.12.2023;NAJU;potvrda;2;20;3,92;Klasična učionica;2023
2023-08-0115;PROGRAM OBUKE RUKOVODILACA U JEDINICAMA LOKALNE SAMOUPRAVE;PROGRAM OBUKE FUNKCIONERA I SLUŽBENIKA NA POLOŽAJU U JLS, SLUŽBENIKA KOJI SU RASPOREĐENI NA RADNA MESTA RUKOVODILACA ORGANIZACIONIH JEDINICAU GRADSKOJ, ODNOSNO OPŠTINSKOJ UPRAVI ILI UPRAVI GRADSKE OPŠTINE I SLUŽBENIKA KOJI SE PRIPREMAJU ZA RASPOREĐIVANjE NA RADNA MESTA RUKOVODILACA U JLS;Veštine rukovođenja i lični razvoj;EFEKTIVNO LIDERSTVO;14.12.2023;14.12.2023;NAJU;potvrda;1;7;3,96;Konsultacije;2023
2023-02-1316-01;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;Upravljanje programima i projektima i međunarodnom razvojnom pomoći;IPA PROGRAMI PREKOGRANIČNE I TRANSNACIONALNE SARADNjE - Predstavljanje programskih procedura za prekogranicni program sa Crnom gorom za IPA III razdoblje;15.12.2023;15.12.2023;NAJU;sertifikat;1;28;;Klasična učionica;2023
2023-00-0000;POSEBNI DOGAĐAJI;KONFERENCIJE;0;Završna konferencija - UNDP Obuka za državnu službu za 21.vek u Republici Srbiji;20.12.2023;20.12.2023;NAJU;bez potvrde;1;70;;Konferencija;2023
2023-03-0114;PROGRAM OBUKE  RUKOVODILACA U DRŽAVNIM ORGANIMA;PROGRAM KONTINUIRANOG USAVRŠAVANjA I RAZVOJA DRŽAVNIH SLUŽBENIKA NA POLOŽAJU;Veštine rukovođenja i lični razvoj;UPRAVLjANjE SOBOM;20.12.2023;21.12.2023;NAJU;sertifikat;2;6;4,00;Klasična učionica;2023
2023-02-0204;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;INOVACIJE I DIGITALNO DOBA;Zaštita ljudskih prava i tajnosti podataka;ZAŠTITA PRAVA OSOBA SA INVALIDITETOM - Zaštita prava i sprečavanje diskriminacije osoba sa invaliditetom;22.12.2023;22.12.2023;NAJU;potvrda;1;13;3,80;Klasična učionica;2023
2023-02-1316-01;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;Upravljanje programima i projektima i međunarodnom razvojnom pomoći;WORKSHOP for the specific procedures applicable to the NIPAC TS, Managing Authorities and the Intermediated Bodies involved in the implementation of the IPA III Operational Programmes;27.12.2023;27.12.2023;NAJU;sertifikat;2;54;;Klasična učionica;2023
2020-02-0309;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;SISTEM JAVNE UPRAVE;OPŠTI UPRAVNI POSTUPAK – ONLAJN OBUKA;11.2.2020;-;LMS;onlajn sertifikat;0;0;#N/A;Onlajn obuka;2024
2020-02-0401;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;SISTEM JAVNE UPRAVE;INSPEKCIJSKI NADZOR – ONLAJN OBUKA ;11.2.2020;-;LMS;onlajn sertifikat;0;0;#N/A;Onlajn obuka;2024
2020-02-0701;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;EVROPSKE INTEGRACIJE I MEĐUNARODNA SARADNjA;UVOD U EU - ABC EVROPSKA UNIJA;11.2.2020;-;LMS;onlajn sertifikat;0;0;#N/A;Onlajn obuka;2024
2020-02-0702;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;EVROPSKE INTEGRACIJE I MEĐUNARODNA SARADNjA;PRIMENA SPORAZUMA O STABILIZACIJI I PRIDRUŽIVANjU (SSP) - ONLAJN OBUKA;11.2.2020;-;LMS;onlajn sertifikat;0;0;#N/A;Onlajn obuka;2024
2020-02-1610;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;LIČNI RAZVOJ I VEŠTINE;VODITI SASTANAK SA REZULTATOM - PRODUKTIVAN SASTANAK - Produktivnost u fokusu;1.4.2020;12.1.2021;LMS;onlajn potvrda;0;0;#N/A;Onlajn obuka;2024
2020-02-1003;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;LIČNI RAZVOJ I VEŠTINE;U PAR KORAKA DO OČUVANjA FIZIČKOG ZDRAVLjA NA RADU - ONLAJN OBUKA;10.4.2020;-;LMS;onlajn potvrda;0;0;#N/A;Onlajn obuka;2024
2020-02-1201;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;LIČNI RAZVOJ I VEŠTINE;VEŠTINE KOMUNIKACIJE - Poslovna i jezička komunikacija;10.4.2020;-;LMS;onlajn sertifikat;0;0;#N/A;Onlajn obuka;2024
2020-01-0201;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;SISTEM JAVNE UPRAVE;USTAVNO UREĐENjE - ONLAJN OBUKA;24.4.2020;-;LMS;onlajn sertifikat;0;0;#N/A;Onlajn obuka;2024
2020-02-0301;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;SISTEM JAVNE UPRAVE;ZAKONODAVNI PROCES – OSNOVNA OBUKA -ONLAJN OBUKA;29.4.2020;-;LMS;onlajn sertifikat;0;0;#N/A;Onlajn obuka;2024
2020-02-0903;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;SISTEM JAVNE UPRAVE;PRAVA PRIPADNIKA NACIONALNIH MANjINA;17.8.2020;-;LMS;onlajn potvrda;0;0;#N/A;Onlajn obuka;2024
2020-02-0101;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;SISTEM JAVNE UPRAVE;JAVNE POLITIKE – ONLAJN OBUKA;11.9.2020;-;LMS;onlajn sertifikat;0;0;#N/A;Onlajn obuka;2024
2020-02-0705;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;EVROPSKE INTEGRACIJE I MEĐUNARODNA SARADNjA;KOHEZIONA POLITIKA EU - UVOD - ONLAJN OBUKA;12.10.2020;-;LMS;onlajn potvrda;0;0;#N/A;Onlajn obuka;2024
2020-06-0104;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;SISTEM JAVNE UPRAVE;INSPEKCIJSKI NADZOR – Nadzor nad primenom mera za zaštitu stanovništva od zaraznih bolesti - ONLAJN OBUKA ;18.11.2020;-;LMS;onlajn sertifikat;0;0;#N/A;Onlajn obuka;2024
2020-08-0101;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;UPRAVLjANjE U JAVNOJ UPRAVI;ORIJENTACIJA FUNKCIONERA I SLUŽBENIKA NA POLOŽAJU U ORGANIMA JLS - Online;26.11.2020;-;LMS;bez potvrde;0;0;#N/A;Onlajn obuka;2024
2020-02-1422;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;E-UPRAVA I DIGITALIZACIJA;UZ NACIONALNU INFRASTRUKTURU GEOPROSTORNIH PODATAKA KA EFIKASNIJOJ UPRAVI I BOLjIM JAVNIM USLUGAMA - ONLAJN OBUKA;4.12.2020;-;LMS;onlajn sertifikat;0;0;#N/A;Onlajn obuka;2024
2020-08-0201;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;UPRAVLjANjE U JAVNOJ UPRAVI;DOBRO UPRAVLjANjE - Korupcija, favoritizam, pronevera … kako ih sprečiti u lokalnoj samoupravi?;14.12.2020;-;LMS;bez potvrde;0;0;#N/A;Onlajn obuka;2024
2020-02-0901;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;SISTEM JAVNE UPRAVE;ODRŽIVI RAZVOJ I ZAŠTITA ŽIVOTNE SREDINE – ONLAJN OBUKA;28.12.2020;-;LMS;bez potvrde;0;0;#N/A;Onlajn obuka;2024
2021-02-1610;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;LIČNI RAZVOJ I VEŠTINE;MOTIVACIJA ZAPOSLENIH;29.3.2021;-;LMS;onlajn sertifikat;0;0;#N/A;Modernizovane onlajn obuke;2024
2021-02-1617;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;LIČNI RAZVOJ I VEŠTINE;KORIGOVANjE LOŠEG RADNOG UČINKA I PONAŠANjA;29.3.2021;-;LMS;onlajn sertifikat;0;0;#N/A;Modernizovane onlajn obuke;2024
2021-03-0203;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;JAVNE FINANSIJE;FINANSIJSKO UPRAVLjANjE I KONTROLA - ONLAJN OBUKA;12.4.2021;-;LMS;onlajn sertifikat;0;0;#N/A;Onlajn obuka;2024
2021-02-0208;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;SISTEM JAVNE UPRAVE;"KREATIVNO KORISNIČKI ORIJENTISANO KREIRANjE USLUGA I POLITIKA (""DESIGN THINKING"") – ONLAJN OBUKA";26.5.2021;-;LMS;onlajn sertifikat;0;0;#N/A;Onlajn obuka;2024
2021-08-0101-10;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;LIČNI RAZVOJ I VEŠTINE;SISTEM 5S;17.6.2021;-;LMS;onlajn sertifikat;0;0;#N/A;Modernizovane onlajn obuke;2024
2021-08-0201-06;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;LIČNI RAZVOJ I VEŠTINE;KORISNIČKI SERVIS - OSNOVE - Ljubazna i nasmejana Opština;17.6.2021;-;LMS;onlajn sertifikat;0;0;#N/A;Modernizovane onlajn obuke;2024
2021-02-0208;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;LIČNI RAZVOJ I VEŠTINE;MEDIJSKA PISMENOST;2.8.2021;-;LMS;onlajn sertifikat;0;0;#N/A;Onlajn obuka;2024
2021-02-1421;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;E-UPRAVA I DIGITALIZACIJA;"OSNOVNA OBUKA ZA SLUŽBENIKA ZA PODATKE (""DATA OFFICER"")";15.11.2021;-;LMS;onlajn sertifikat;0;0;#N/A;Kombinovano učenje;2024
2021-06-0106;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;SISTEM JAVNE UPRAVE;APLIKACIJA ZA OČITAVANjE DIGITALNIH ZELENIH SERTIFIKATA - NADZOR NAD PRIMENOM MERA ZA ZAŠTITU STANOVNIŠTVA OD ZARAZNIH BOLESTI;18.11.2021;-;LMS;bez potvrde;0;0;#N/A;Onlajn obuka;2024
2021-07-1504;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;0;CIVILNA ZAŠTITA;1.12.2021;-;LMS;onlajn sertifikat;0;0;#N/A;Onlajn obuka;2024
2022-02-0105;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;E-UPRAVA I DIGITALIZACIJA;Četvrta industrijska revolucija: Nove tehnologije;29.12.2021;-;LMS;onlajn sertifikat;0;0;#N/A;Onlajn obuka;2024
2022-02-0101;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;SISTEM JAVNE UPRAVE;KONCEPT DOBRE UPRAVE – ONLAJN OBUKA;6.1.2022;-;LMS;onlajn sertifikat;0;0;#N/A;Onlajn obuka;2024
2022-02-1106;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;UPRAVLjANjE U JAVNOJ UPRAVI;METODE I TEHNIKE ODABIRA KADROVA ;26.1.2022;-;LMS;onlajn sertifikat;0;0;#N/A;Onlajn obuka;2024
2022-02-1105;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;UPRAVLjANjE U JAVNOJ UPRAVI;PROPISI I PROCEDURE U OBLASTI ZAPOŠLjAVANjA DRŽAVNIH SLUŽBENIKA;28.1.2022;-;LMS;onlajn sertifikat;0;0;#N/A;Onlajn obuka;2024
2022-08-0301;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;UPRAVLjANjE U JAVNOJ UPRAVI;DOBRO UPRAVLjANjE – 12 načela dobrog upravljanja i evropska oznaka izvrsnosti upravljanja – ONLAJN OBUKA;31.1.2022;-;LMS;onlajn sertifikat;0;0;#N/A;Onlajn obuka;2024
